Pageviews per User,Pageviews per Session,Facebook.com,Number of Records,Date,Device Category,Entrances,Social Source Referral,Landing Page,New Users,Organic Searches,Pageviews,% New Sessions,Number of Sessions per User,Sessions,Shared URL,Social Network,Source,Time on Page,Unique Pageviews,Users
20,6,3,1,15/03/2017,desktop,3,No,/,1,0,20,0.333333313,3,3,foxautos.co.nz/,,(direct),3681,11,1
33,33,3,1,15/03/2017,desktop,1,No,/?customize_changeset_uuid=22902563-64c6-4ea1-9dad-b0ac29c83fbe&customize_theme=Divi&customize_messenger_channel=preview-0,0,0,33,0,1,1,foxautos.co.nz/?customize_changeset_uuid=22902563-64c6-4ea1-9dad-b0ac29c83fbe&customize_messenger_channel=preview-0&customize_theme=Divi,,(direct),991,31,1
7,7,3,1,15/03/2017,desktop,1,No,/?customize_changeset_uuid=c574421c-949d-4af8-b7ba-6d164456cf13&customize_theme=Divi&customize_messenger_channel=preview-0,1,0,7,1,1,1,foxautos.co.nz/?customize_changeset_uuid=c574421c-949d-4af8-b7ba-6d164456cf13&customize_messenger_channel=preview-0&customize_theme=Divi,,(direct),870,6,1
32,32,3,1,16/03/2017,desktop,1,No,/?customize_changeset_uuid=85c3338f-c0c9-495c-b5ca-721b665119e2&customize_theme=motors&customize_messenger_channel=preview-0,0,0,32,0,1,1,foxautos.co.nz/?customize_changeset_uuid=85c3338f-c0c9-495c-b5ca-721b665119e2&customize_messenger_channel=preview-0&customize_theme=motors,,(direct),1077,31,1
37,37,3,1,16/03/2017,desktop,1,No,/?customize_changeset_uuid=95f1e03e-96ef-4ca9-b1d6-4cb41e430926&customize_theme=motors&customize_messenger_channel=preview-0,0,0,37,0,1,1,foxautos.co.nz/?customize_changeset_uuid=95f1e03e-96ef-4ca9-b1d6-4cb41e430926&customize_messenger_channel=preview-0&customize_theme=motors,,(direct),830,35,1
3,3,3,1,16/03/2017,mobile,1,No,/,1,0,3,1,1,1,foxautos.co.nz/,,(direct),41,1,1
30,30,3,1,16/03/2017,desktop,1,Yes,/,0,0,30,0,1,1,foxautos.co.nz/,Facebook,facebook.com,3620,27,1
5,5,3,1,16/03/2017,desktop,1,Yes,/?vc_editable=true&vc_post_id=68&_vcnonce=afb799d14f,0,0,5,0,1,1,foxautos.co.nz/?_vcnonce=afb799d14f&vc_editable=true&vc_post_id=68,Facebook,facebook.com,2985,4,1
1,1,3,1,17/03/2017,desktop,1,No,/,0,0,1,0,1,1,foxautos.co.nz/,,(direct),0,1,1
4,4,3,1,17/03/2017,desktop,1,Yes,/?vc_editable=true&vc_post_id=68&_vcnonce=56d904c8ef,0,0,4,0,1,1,foxautos.co.nz/?_vcnonce=56d904c8ef&vc_editable=true&vc_post_id=68,Facebook,facebook.com,277,2,1
1,1,3,1,18/03/2017,desktop,1,No,/,1,0,1,1,1,1,foxautos.co.nz/,,(direct),0,1,1
